"alabama,autauga , United States","alabama autauga"
"alabama,baldwin , United States","alabama baldwin"
"alabama,barbour , United States","alabama barbour"
"alabama,bibb , United States","alabama bibb"
"alabama,blount , United States","alabama blount"
"alabama,bullock , United States","alabama bullock"
"alabama,butler , United States","alabama butler"
"alabama,calhoun , United States","alabama calhoun"
"alabama,chambers , United States","alabama chambers"
"alabama,cherokee , United States","alabama cherokee"
"alabama,chilton , United States","alabama chilton"
"alabama,choctaw , United States","alabama choctaw"
"alabama,clarke , United States","alabama clarke"
"alabama,clay , United States","alabama clay"
"alabama,cleburne , United States","alabama cleburne"
"alabama,coffee , United States","alabama coffee"
"alabama,colbert , United States","alabama colbert"
"alabama,conecuh , United States","alabama conecuh"
"alabama,coosa , United States","alabama coosa"
"alabama,covington , United States","alabama covington"
"alabama,crenshaw , United States","alabama crenshaw"
"alabama,cullman , United States","alabama cullman"
"alabama,dale , United States","alabama dale"
"alabama,dallas , United States","alabama dallas"
"alabama,de kalb , United States","alabama de kalb"
"alabama,elmore , United States","alabama elmore"
"alabama,escambia , United States","alabama escambia"
"alabama,etowah , United States","alabama etowah"
"alabama,fayette , United States","alabama fayette"
"alabama,franklin , United States","alabama franklin"
"alabama,geneva , United States","alabama geneva"
"alabama,greene , United States","alabama greene"
"alabama,hale , United States","alabama hale"
"alabama,henry , United States","alabama henry"
"alabama,houston , United States","alabama houston"
"alabama,jackson , United States","alabama jackson"
"alabama,jefferson , United States","alabama jefferson"
"alabama,lamar , United States","alabama lamar"
"alabama,lauderdale , United States","alabama lauderdale"
"alabama,lawrence , United States","alabama lawrence"
"alabama,lee , United States","alabama lee"
"alabama,limestone , United States","alabama limestone"
"alabama,lowndes , United States","alabama lowndes"
"alabama,macon , United States","alabama macon"
"alabama,madison , United States","alabama madison"
"alabama,marengo , United States","alabama marengo"
"alabama,marion , United States","alabama marion"
"alabama,marshall , United States","alabama marshall"
"alabama,mobile , United States","alabama mobile"
"alabama,monroe , United States","alabama monroe"
"alabama,montgomery , United States","alabama montgomery"
"alabama,morgan , United States","alabama morgan"
"alabama,perry , United States","alabama perry"
"alabama,pickens , United States","alabama pickens"
"alabama,pike , United States","alabama pike"
"alabama,randolph , United States","alabama randolph"
"alabama,russell , United States","alabama russell"
"alabama,st clair , United States","alabama st clair"
"alabama,shelby , United States","alabama shelby"
"alabama,sumter , United States","alabama sumter"
"alabama,talladega , United States","alabama talladega"
"alabama,tallapoosa , United States","alabama tallapoosa"
"alabama,tuscaloosa , United States","alabama tuscaloosa"
"alabama,walker , United States","alabama walker"
"alabama,washington , United States","alabama washington"
"alabama,wilcox , United States","alabama wilcox"
"alabama,winston , United States","alabama winston"
"arizona,apache , United States","arizona apache"
"arizona,cochise , United States","arizona cochise"
"arizona,coconino , United States","arizona coconino"
"arizona,gila , United States","arizona gila"
"arizona,graham , United States","arizona graham"
"arizona,greenlee , United States","arizona greenlee"
"arizona,maricopa , United States","arizona maricopa"
"arizona,mohave , United States","arizona mohave"
"arizona,navajo , United States","arizona navajo"
"arizona,pima , United States","arizona pima"
"arizona,pinal , United States","arizona pinal"
"arizona,santa cruz , United States","arizona santa cruz"
"arizona,yavapai , United States","arizona yavapai"
"arizona,yuma , United States","arizona yuma"
"arkansas,arkansas , United States","arkansas arkansas"
"arkansas,ashley , United States","arkansas ashley"
"arkansas,baxter , United States","arkansas baxter"
"arkansas,benton , United States","arkansas benton"
"arkansas,boone , United States","arkansas boone"
"arkansas,bradley , United States","arkansas bradley"
"arkansas,calhoun , United States","arkansas calhoun"
"arkansas,carroll , United States","arkansas carroll"
"arkansas,chicot , United States","arkansas chicot"
"arkansas,clark , United States","arkansas clark"
"arkansas,clay , United States","arkansas clay"
"arkansas,cleburne , United States","arkansas cleburne"
"arkansas,cleveland , United States","arkansas cleveland"
"arkansas,columbia , United States","arkansas columbia"
"arkansas,conway , United States","arkansas conway"
"arkansas,craighead , United States","arkansas craighead"
"arkansas,crawford , United States","arkansas crawford"
"arkansas,crittenden , United States","arkansas crittenden"
"arkansas,cross , United States","arkansas cross"
"arkansas,dallas , United States","arkansas dallas"
"arkansas,desha , United States","arkansas desha"
"arkansas,drew , United States","arkansas drew"
"arkansas,faulkner , United States","arkansas faulkner"
"arkansas,franklin , United States","arkansas franklin"
"arkansas,fulton , United States","arkansas fulton"
"arkansas,garland , United States","arkansas garland"
"arkansas,grant , United States","arkansas grant"
"arkansas,greene , United States","arkansas greene"
"arkansas,hempstead , United States","arkansas hempstead"
"arkansas,hot spring , United States","arkansas hot spring"
"arkansas,howard , United States","arkansas howard"
"arkansas,independence , United States","arkansas independence"
"arkansas,izard , United States","arkansas izard"
"arkansas,jackson , United States","arkansas jackson"
"arkansas,jefferson , United States","arkansas jefferson"
"arkansas,johnson , United States","arkansas johnson"
"arkansas,lafayette , United States","arkansas lafayette"
"arkansas,lawrence , United States","arkansas lawrence"
"arkansas,lee , United States","arkansas lee"
"arkansas,lincoln , United States","arkansas lincoln"
"arkansas,little river , United States","arkansas little river"
"arkansas,logan , United States","arkansas logan"
"arkansas,lonoke , United States","arkansas lonoke"
"arkansas,madison , United States","arkansas madison"
"arkansas,marion , United States","arkansas marion"
"arkansas,miller , United States","arkansas miller"
"arkansas,mississippi , United States","arkansas mississippi"
"arkansas,monroe , United States","arkansas monroe"
"arkansas,montgomery , United States","arkansas montgomery"
"arkansas,nevada , United States","arkansas nevada"
"arkansas,newton , United States","arkansas newton"
"arkansas,ouachita , United States","arkansas ouachita"
"arkansas,perry , United States","arkansas perry"
"arkansas,phillips , United States","arkansas phillips"
"arkansas,pike , United States","arkansas pike"
"arkansas,poinsett , United States","arkansas poinsett"
"arkansas,polk , United States","arkansas polk"
"arkansas,pope , United States","arkansas pope"
"arkansas,prairie , United States","arkansas prairie"
"arkansas,pulaski , United States","arkansas pulaski"
"arkansas,randolph , United States","arkansas randolph"
"arkansas,st francis , United States","arkansas st francis"
"arkansas,saline , United States","arkansas saline"
"arkansas,scott , United States","arkansas scott"
"arkansas,searcy , United States","arkansas searcy"
"arkansas,sebastian , United States","arkansas sebastian"
"arkansas,sevier , United States","arkansas sevier"
"arkansas,sharp , United States","arkansas sharp"
"arkansas,stone , United States","arkansas stone"
"arkansas,union , United States","arkansas union"
"arkansas,van buren , United States","arkansas van buren"
"arkansas,washington , United States","arkansas washington"
"arkansas,white , United States","arkansas white"
"arkansas,woodruff , United States","arkansas woodruff"
"arkansas,yell , United States","arkansas yell"
"california,alameda , United States","california alameda"
"california,alpine , United States","california alpine"
"california,amador , United States","california amador"
"california,butte , United States","california butte"
"california,calaveras , United States","california calaveras"
"california,colusa , United States","california colusa"
"california,contra costa , United States","california contra costa"
"california,del norte , United States","california del norte"
"california,el dorado , United States","california el dorado"
"california,fresno , United States","california fresno"
"california,glenn , United States","california glenn"
"california,humboldt , United States","california humboldt"
"california,imperial , United States","california imperial"
"california,inyo , United States","california inyo"
"california,kern , United States","california kern"
"california,kings , United States","california kings"
"california,lake , United States","california lake"
"california,lassen , United States","california lassen"
"california,los angeles , United States","california los angeles"
"california,madera , United States","california madera"
"california,marin , United States","california marin"
"california,mariposa , United States","california mariposa"
"california,mendocino , United States","california mendocino"
"california,merced , United States","california merced"
"california,modoc , United States","california modoc"
"california,mono , United States","california mono"
"california,monterey , United States","california monterey"
"california,napa , United States","california napa"
"california,nevada , United States","california nevada"
"california,orange , United States","california orange"
"california,placer , United States","california placer"
"california,plumas , United States","california plumas"
"california,riverside , United States","california riverside"
"california,sacramento , United States","california sacramento"
"california,san benito , United States","california san benito"
"california,san bernardino , United States","california san bernardino"
"california,san diego , United States","california san diego"
"california,san francisco , United States","california san francisco"
"california,san joaquin , United States","california san joaquin"
"california,san luis obispo , United States","california san luis obispo"
"california,san mateo , United States","california san mateo"
"california,santa barbara , United States","california santa barbara"
"california,santa clara , United States","california santa clara"
"california,santa cruz , United States","california santa cruz"
"california,shasta , United States","california shasta"
"california,sierra , United States","california sierra"
"california,siskiyou , United States","california siskiyou"
"california,solano , United States","california solano"
"california,sonoma , United States","california sonoma"
"california,stanislaus , United States","california stanislaus"
"california,sutter , United States","california sutter"
"california,tehama , United States","california tehama"
"california,trinity , United States","california trinity"
"california,tulare , United States","california tulare"
"california,tuolumne , United States","california tuolumne"
"california,ventura , United States","california ventura"
"california,yolo , United States","california yolo"
"california,yuba , United States","california yuba"
"colorado,adams , United States","colorado adams"
"colorado,alamosa , United States","colorado alamosa"
"colorado,arapahoe , United States","colorado arapahoe"
"colorado,archuleta , United States","colorado archuleta"
"colorado,baca , United States","colorado baca"
"colorado,bent , United States","colorado bent"
"colorado,boulder , United States","colorado boulder"
"colorado,chaffee , United States","colorado chaffee"
"colorado,cheyenne , United States","colorado cheyenne"
"colorado,clear creek , United States","colorado clear creek"
"colorado,conejos , United States","colorado conejos"
"colorado,costilla , United States","colorado costilla"
"colorado,crowley , United States","colorado crowley"
"colorado,custer , United States","colorado custer"
"colorado,delta , United States","colorado delta"
"colorado,denver , United States","colorado denver"
"colorado,dolores , United States","colorado dolores"
"colorado,douglas , United States","colorado douglas"
"colorado,eagle , United States","colorado eagle"
"colorado,elbert , United States","colorado elbert"
"colorado,el paso , United States","colorado el paso"
"colorado,fremont , United States","colorado fremont"
"colorado,garfield , United States","colorado garfield"
"colorado,gilpin , United States","colorado gilpin"
"colorado,grand , United States","colorado grand"
"colorado,gunnison , United States","colorado gunnison"
"colorado,hinsdale , United States","colorado hinsdale"
"colorado,huerfano , United States","colorado huerfano"
"colorado,jackson , United States","colorado jackson"
"colorado,jefferson , United States","colorado jefferson"
"colorado,kiowa , United States","colorado kiowa"
"colorado,kit carson , United States","colorado kit carson"
"colorado,lake , United States","colorado lake"
"colorado,la plata , United States","colorado la plata"
"colorado,larimer , United States","colorado larimer"
"colorado,las animas , United States","colorado las animas"
"colorado,lincoln , United States","colorado lincoln"
"colorado,logan , United States","colorado logan"
"colorado,mesa , United States","colorado mesa"
"colorado,mineral , United States","colorado mineral"
"colorado,moffat , United States","colorado moffat"
"colorado,montezuma , United States","colorado montezuma"
"colorado,montrose , United States","colorado montrose"
"colorado,morgan , United States","colorado morgan"
"colorado,otero , United States","colorado otero"
"colorado,ouray , United States","colorado ouray"
"colorado,park , United States","colorado park"
"colorado,phillips , United States","colorado phillips"
"colorado,pitkin , United States","colorado pitkin"
"colorado,prowers , United States","colorado prowers"
"colorado,pueblo , United States","colorado pueblo"
"colorado,rio blanco , United States","colorado rio blanco"
"colorado,rio grande , United States","colorado rio grande"
"colorado,routt , United States","colorado routt"
"colorado,saguache , United States","colorado saguache"
"colorado,san juan , United States","colorado san juan"
"colorado,san miguel , United States","colorado san miguel"
"colorado,sedgwick , United States","colorado sedgwick"
"colorado,summit , United States","colorado summit"
"colorado,teller , United States","colorado teller"
"colorado,washington , United States","colorado washington"
"colorado,weld , United States","colorado weld"
"colorado,yuma , United States","colorado yuma"
"connecticut,fairfield , United States","connecticut fairfield"
"connecticut,hartford , United States","connecticut hartford"
"connecticut,litchfield , United States","connecticut litchfield"
"connecticut,middlesex , United States","connecticut middlesex"
"connecticut,new haven , United States","connecticut new haven"
"connecticut,new london , United States","connecticut new london"
"connecticut,tolland , United States","connecticut tolland"
"connecticut,windham , United States","connecticut windham"
"delaware,kent , United States","delaware kent"
"delaware,new castle , United States","delaware new castle"
"delaware,sussex , United States","delaware sussex"
"district of columbia,washington , United States","district of columbia washington"
"florida,alachua , United States","florida alachua"
"florida,baker , United States","florida baker"
"florida,bay , United States","florida bay"
"florida,bradford , United States","florida bradford"
"florida,brevard , United States","florida brevard"
"florida,broward , United States","florida broward"
"florida,calhoun , United States","florida calhoun"
"florida,charlotte , United States","florida charlotte"
"florida,citrus , United States","florida citrus"
"florida,clay , United States","florida clay"
"florida,collier , United States","florida collier"
"florida,columbia , United States","florida columbia"
"florida,dade , United States","florida dade"
"florida,de soto , United States","florida de soto"
"florida,dixie , United States","florida dixie"
"florida,duval , United States","florida duval"
"florida,escambia , United States","florida escambia"
"florida,flagler , United States","florida flagler"
"florida,franklin , United States","florida franklin"
"florida,gadsden , United States","florida gadsden"
"florida,gilchrist , United States","florida gilchrist"
"florida,glades , United States","florida glades"
"florida,gulf , United States","florida gulf"
"florida,hamilton , United States","florida hamilton"
"florida,hardee , United States","florida hardee"
"florida,hendry , United States","florida hendry"
"florida,hernando , United States","florida hernando"
"florida,highlands , United States","florida highlands"
"florida,hillsborough , United States","florida hillsborough"
"florida,holmes , United States","florida holmes"
"florida,indian river , United States","florida indian river"
"florida,jackson , United States","florida jackson"
"florida,jefferson , United States","florida jefferson"
"florida,lafayette , United States","florida lafayette"
"florida,lake , United States","florida lake"
"florida,lee , United States","florida lee"
"florida,leon , United States","florida leon"
"florida,levy , United States","florida levy"
"florida,liberty , United States","florida liberty"
"florida,madison , United States","florida madison"
"florida,manatee , United States","florida manatee"
"florida,marion , United States","florida marion"
"florida,martin , United States","florida martin"
"florida,monroe , United States","florida monroe"
"florida,nassau , United States","florida nassau"
"florida,okaloosa:main , United States","florida okaloosa:main"
"florida,okaloosa:spit , United States","florida okaloosa:spit"
"florida,okeechobee , United States","florida okeechobee"
"florida,orange , United States","florida orange"
"florida,osceola , United States","florida osceola"
"florida,palm beach , United States","florida palm beach"
"florida,pasco , United States","florida pasco"
"florida,pinellas , United States","florida pinellas"
"florida,polk , United States","florida polk"
"florida,putnam , United States","florida putnam"
"florida,st johns , United States","florida st johns"
"florida,st lucie , United States","florida st lucie"
"florida,santa rosa , United States","florida santa rosa"
"florida,sarasota , United States","florida sarasota"
"florida,seminole , United States","florida seminole"
"florida,sumter , United States","florida sumter"
"florida,suwannee , United States","florida suwannee"
"florida,taylor , United States","florida taylor"
"florida,union , United States","florida union"
"florida,volusia , United States","florida volusia"
"florida,wakulla , United States","florida wakulla"
"florida,walton , United States","florida walton"
"florida,washington , United States","florida washington"
"georgia,appling , United States","georgia appling"
"georgia,atkinson , United States","georgia atkinson"
"georgia,bacon , United States","georgia bacon"
"georgia,baker , United States","georgia baker"
"georgia,baldwin , United States","georgia baldwin"
"georgia,banks , United States","georgia banks"
"georgia,barrow , United States","georgia barrow"
"georgia,bartow , United States","georgia bartow"
